x,y,cc,treatment,area,source
563697.1520435829,5705630.350587303,69.0,treated,non-inoculated,uas
563704.809928597,5705630.350587303,68.0,treated,non-inoculated,uas
563750.7572386813,5705630.350587303,64.0,treated,non-inoculated,uas
563758.4151236954,5705630.350587303,61.0,treated,non-inoculated,uas
563766.0730087094,5705630.350587303,72.0,treated,non-inoculated,uas
563681.8362735547,5705622.692702289,69.0,treated,non-inoculated,uas
563689.4941585688,5705622.692702289,69.0,treated,non-inoculated,uas
563697.1520435829,5705622.692702289,63.0,treated,non-inoculated,uas
563704.809928597,5705622.692702289,66.0,treated,non-inoculated,uas
563750.7572386813,5705622.692702289,62.0,treated,non-inoculated,uas
563758.4151236954,5705622.692702289,64.0,treated,non-inoculated,uas
563766.0730087094,5705622.692702289,76.0,treated,non-inoculated,uas
563674.1783885406,5705615.034817275,69.0,treated,non-inoculated,uas
563681.8362735547,5705615.034817275,69.0,treated,non-inoculated,uas
563689.4941585688,5705615.034817275,65.0,treated,non-inoculated,uas
563697.1520435829,5705615.034817275,63.0,treated,non-inoculated,uas
563704.809928597,5705615.034817275,66.0,treated,non-inoculated,uas
563743.0993536672,5705615.034817275,69.0,treated,non-inoculated,uas
563750.7572386813,5705615.034817275,59.0,treated,non-inoculated,uas
563758.4151236954,5705615.034817275,63.0,treated,non-inoculated,uas
563674.1783885406,5705607.376932261,64.0,treated,non-inoculated,uas
563681.8362735547,5705607.376932261,69.0,treated,non-inoculated,uas
563689.4941585688,5705607.376932261,61.0,treated,non-inoculated,uas
563697.1520435829,5705607.376932261,65.0,treated,non-inoculated,uas
563704.809928597,5705607.376932261,64.0,treated,non-inoculated,uas
563712.4678136109,5705607.376932261,69.0,treated,non-inoculated,uas
563720.125698625,5705607.376932261,63.0,treated,non-inoculated,uas
563735.4414686532,5705607.376932261,63.0,treated,non-inoculated,uas
563743.0993536672,5705607.376932261,63.0,treated,non-inoculated,uas
563750.7572386813,5705607.376932261,59.0,treated,non-inoculated,uas
563758.4151236954,5705607.376932261,64.0,treated,non-inoculated,uas
563674.1783885406,5705599.7190472465,60.0,treated,non-inoculated,uas
563681.8362735547,5705599.7190472465,66.0,treated,non-inoculated,uas
563689.4941585688,5705599.7190472465,59.0,treated,non-inoculated,uas
563697.1520435829,5705599.7190472465,60.0,treated,non-inoculated,uas
563704.809928597,5705599.7190472465,61.0,treated,non-inoculated,uas
563712.4678136109,5705599.7190472465,62.0,treated,non-inoculated,uas
563720.125698625,5705599.7190472465,57.0,treated,non-inoculated,uas
563727.7835836391,5705599.7190472465,56.0,treated,non-inoculated,uas
563735.4414686532,5705599.7190472465,67.0,treated,non-inoculated,uas
563743.0993536672,5705599.7190472465,59.0,treated,non-inoculated,uas
563750.7572386813,5705599.7190472465,58.0,treated,non-inoculated,uas
563758.4151236954,5705599.7190472465,66.0,treated,non-inoculated,uas
563597.5995384001,5705706.929437444,83.0,untreated,non-inoculated,uas
563605.257423414,5705706.929437444,91.0,untreated,non-inoculated,uas
563612.9153084281,5705706.929437444,94.0,untreated,non-inoculated,uas
563620.5731934422,5705706.929437444,102.0,untreated,non-inoculated,uas
563628.2310784563,5705706.929437444,88.0,untreated,non-inoculated,uas
563635.8889634704,5705706.929437444,86.0,untreated,non-inoculated,uas
563643.5468484844,5705706.929437444,90.0,untreated,non-inoculated,uas
